,WIN$N_open,WIN$N_close,WIN$N_high,WIN$N_low,WIN$N_tick_volume,WIN$N_real_volume,WIN$N_spread
636904,102410.0,102425.0,102470.0,102390.0,4528,14936,5
636905,102420.0,102375.0,102440.0,102350.0,4808,15801,5
636906,102380.0,102380.0,102410.0,102345.0,4457,14014,5
636907,102385.0,102435.0,102455.0,102380.0,4430,15352,5
636908,102430.0,102425.0,102510.0,102420.0,6883,25095,5
636909,102420.0,102410.0,102430.0,102365.0,4436,17707,5
636910,102410.0,102470.0,102490.0,102405.0,3579,13465,5
636911,102470.0,102495.0,102525.0,102450.0,5350,21203,5
636912,102495.0,102540.0,102565.0,102490.0,6461,24994,5
636913,102545.0,102490.0,102545.0,102475.0,4344,16134,5
636914,102490.0,102480.0,102500.0,102465.0,3036,13263,5
636915,102480.0,102435.0,102490.0,102435.0,2923,10343,5
636916,102435.0,102440.0,102450.0,102400.0,6276,22754,5
636917,102435.0,102485.0,102515.0,102400.0,6566,23529,5
636918,102485.0,102515.0,102520.0,102480.0,2822,12269,5
636919,102515.0,102495.0,102520.0,102490.0,1771,6124,5
636920,102495.0,102425.0,102495.0,102420.0,5049,20151,5
636921,102425.0,102395.0,102455.0,102380.0,5167,20199,5
636922,102395.0,102360.0,102430.0,102355.0,4496,15817,5
636923,102360.0,102345.0,102375.0,102310.0,7986,28548,5
636924,102350.0,102340.0,102365.0,102325.0,2134,9108,5
636925,102345.0,102265.0,102370.0,102260.0,6745,24123,5
636926,102265.0,102245.0,102270.0,102190.0,9300,32404,5
636927,102245.0,102240.0,102270.0,102215.0,4553,18894,5
